
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Block_Summary.csv
#     Report Created by: Vsd22113
#     Report Created on:  Thu Dec 22 22:08:35 2022
#     Working Directory: /home/user2/Vsd22/Vsd22113/Desktop/HW4_4/build
#     SpyGlass Version : SpyGlass_vQ-2020.03
#     Policy Name      : clock-reset(SpyGlass_vQ-2020.03)
#
################################################################################
Set-Case-Analysis,0 
Assume-path,0 
CDC-False-Path,0 
Total Time,9 
Total flat instances,0 
Clocks,2 
Domains,2 
BB Clocks,0 
Resets,2 
BB Resets,0 
Clock re-definitions(Clock_check07),0 
